$腾讯控股(HK|00700)$要珍惜2开头的腾讯控股,03-15
今天段永平又要补仓了,03-15
我相信不会马上罚款了，否则会导致踩踏事件，这一点觉悟他们应该有。,03-15
$腾讯控股(HK|00700)$有希望10元左右买入做多中国！,03-15
$腾讯控股(HK|00700)$你可比阿里强多了，人家是真走下坡了，你可是蒸蒸日,03-15
请珍惜300的腾讯，婴儿底[捂脸],03-15
今天是个好日子，心想的事儿都能成,03-15
$腾讯控股(HK|00700)$80的腾讯也不香了,03-15
$腾讯控股(HK|00700)$今天应该破300了,03-15
一共五季，昨天第一季，今天第二季。第三季怎么安排？导演：编剧目前只写到第二季开头,03-15
$腾讯控股(HK|00700)$啧啧,03-15
$腾讯控股(HK|00700)$抄底，低开高走,03-15
你说段永平联合外资忽悠咱拉盘我都信,03-15
$腾讯控股(HK|00700)$今日北向资金全天单边净卖出145.96亿元，近6,03-15
我永远不炒股了，行不行，放我出来,03-15
$腾讯控股(HK|00700)$束手无策,03-15
能跌再跌20%，我砸锅卖铁梭哈,03-15
今天买必赚！,03-15
凉凉,03-15
为什么我委托买都是场内废单,03-15
$腾讯控股(HK|00700)$疯了,03-15
$腾讯控股(HK|00700)$盘后adr涨停一点用没有？,03-15
共同富裕下，这些互联网大佬将会成为昨日黄花,03-15
280买不进,03-15
一首凉凉，送给自己[囧],03-15
垃圾腾讯今天又要崩了,03-15
$腾讯控股(HK|00700)$要珍惜200元的腾讯,03-15
$腾讯控股(HK|00700)$继续跌，继续回购,03-15
王者荣耀针对我？利害？继续跌吧[奸笑][奸笑][奸笑],03-15
段永平！上啊！,03-15
$腾讯控股(HK|00700)$腾讯会到187,03-15
吃个饭就能成为大输！,03-15
$腾讯控股(HK|00700)$那个段先生今天可以加仓了,03-15
255-300之间为底部区域,03-15
$腾讯控股(HK|00700)$中概又一波跌停,03-15
真吓人啊！,03-15
$腾讯控股(HK|00700)$香港人很喜欢买股王的,03-15
$腾讯控股(HK|00700)$吓死个人了,03-15
买中概念互联网的，凉凉了都抄底炒到半山腰,03-15
唐朝要亏完了，看他得瑟，买白酒赚了钱还真当自己多牛逼了,03-15
这样的跌法段大亏要天天买时时买了！买到巨亏亏！然后消停,03-15
爽歪歪,03-15
活久见,03-15
$腾讯控股(HK|00700)$开盘跌14%,03-15
282[为什么][为什么][为什么][为什么],03-15
$腾讯控股(HK|00700)$牛啊，三期修罗场,03-15
$腾讯控股(HK|00700)$刺激,03-15
盘前跌15个点，绝了,03-15
真干脆，直接核按钮,03-15
260我抵押房子抄底！,03-15
$腾讯控股(HK|00700)$跌百分之50吗,03-15
杀疯了，快跑,03-15
腾讯在搞什么飞机要死了,03-15
兄弟们，坚持住！！！底部250元马上就到了,03-15
3天蒸发两个比亚迪集团资产[滴汗],03-15
$腾讯控股(HK|00700)$今天会不会跌个30%？,03-15
这究竟是怎么了，优质资产都变成垃圾了？？？,03-15
万万没想到,03-15
彻底芭比Q了。,03-15
有钱加仑,03-15
小马宝莉[大笑],03-15
跌破100我加1万股,03-15
今天学纳指，大幅低开，尾盘收窄,03-15
$腾讯控股(HK|00700)$跌到100就买,03-15
这哪是外资搞得，明明都是自己人搞的,03-15
$腾讯控股(HK|00700)$还是空仓的大佬可以尝试建个轻仓了，这波空头不把融,03-15
早上让你们跑，不跑后悔了吧，不过现在也不迟，早晚去200的,03-15
$腾讯控股(HK|00700)$就买一手，支持一下,03-15
之前一直说200都没人信，后面200开始也是压力位了[奸笑],03-15
好怀念400块的腾讯呐[坏笑],03-15
今天学纳指，大幅低开，尾盘收窄,03-15
$腾讯控股(HK|00700)$还没腰斩，大家别急，后面还有百分之七十的跌幅，那,03-15
这没辙,03-15
那个要抄底腾讯的出来走两步,03-15
爆仓了[哭][哭][哭],03-15
这些年太牛,03-15
$腾讯控股(HK|00700)$腾讯是中概股中最具备投资的，13的市盈率，我们就,03-15
$腾讯控股(HK|00700)$当初谁说三百多的腾讯是不可能再下跌的？现在两百多,03-15
各位抱一下亏了多少？,03-15
割肉了，二袋长老撑不住了,03-15
$腾讯控股(HK|00700)$不是说要珍惜4OO元的腾讯吗，怎么300都不到了,03-15
只要腾讯赚钱它就值得了,03-15
300以下了，快买,03-15
$腾讯控股(HK|00700)$昨天还叭叭加仓呢[捂脸],03-15
