20.十万元实盘记录，第二十天。（寒冬）,03-16
快收盘了！A股再度跳水，三大指数大跌！又恐慌了？,03-16
19.十万元实盘记录，第第十九天。（泻立停）,03-16
$九安医疗(SZ002432)$时价参数按上市（12年，48季，142月），按后,03-16
信用危机？外资6天跑了507.29亿，今天跑了144.08亿,03-16
看看北化吧。哎。听说有人赚了三十多点,03-16
早上大跌嘎嘎叫，下午大涨哇哇叫。,03-16
这两天看，里面大庄家不在乎几个点得失，大单买的价格都很高。他们看中的是连续大幅上,03-16
耐心等待放量突破压力线 ，操作 继续持股 若回头下跌可以先出部分,03-16
$九安医疗(SZ002432)$刚入股市，利润分红是给账户现金或者股票嘛～照着今,03-16
热景，万孚，东方，明德，华大，达安，都是大跌，你还装！哪个在国内不比你有名气？不,03-16
$九安医疗(SZ002432)$四千家上涨，我的天，牛市要来了吗？,03-16
求求明天涨涨让我高潮下。跌死咯[可怜],03-16
笑死，明天低开又可以低位接回来，九安总是给散户做t足够空间，记住一句话，九安没大,03-16
$九安医疗(SZ002432)$看董秘回复了中标也大差不差了，明天是不是可以让我,03-16
$九安医疗(SZ002432)$我想吐，这波操作我想哭啊,03-16
九安60附近开始跳水。媒体庄家拼命发利好忽悠。还在幻想的等着割肉吧，看不清瘤子股,03-16
明天怎么看？有没消息群看一眼啊,03-16
$九安医疗(SZ002432)$疫情基本控制住了！慢慢会放开，核酸都会慢慢没有市,03-16
尾盘集合竞价主力买入4000万（全天净流出1.4亿，盘中流出3亿），1.5万手拉,03-16
九安是人气龙头明天高开涨停，只要人气还在关注的资金多的是。现在市场上除了试剂盒和,03-16
$九安医疗(SZ002432)$早上53.81卖了，冲高接进来了，心情已经到冰点,03-16
明天出牌高举绿牌，吹鼓手抬轿夫准备好吧。,03-16
$九安医疗(SZ002432)$早上差点没拿住啊,03-16
$九安医疗(SZ002432)$注意股吧里面的一些神棍，跌的时候不说话也不见人影,03-16
回复：你这不行啊，要快准狠，抓住狗庄脖子，明天怒缝张婷[呲牙][大笑],03-16
说真话刚算了下[滴汗]九安工资真的很高，月薪很高，月薪基本3740，日薪170X,03-16
$九安医疗(SZ002432)$明天来个涨停,03-16
尾盘有人解读一下吗？两天集合进价都是抢筹,03-16
今天-4个点减仓，看情况不对-7个点又加仓，圆满了,03-16
亚马逊评论已经9.86万了,03-16
短线炒股为什么要高抛？,03-16
中国医药不是比这个，更有价值吗，你们怎么想的[为什么],03-16
分水岭到了，晚上有消息那就是更上一层楼，万一没消息明天估计一江春水向东流了。,03-16
$九安医疗(SZ002432)$你们难道不觉得九安今天压着，大盘爆表，明天万一大,03-16
$九安医疗(SZ002432)$老师说明天还得绿，明天开盘看谁跑的快了再见韭菜们,03-16
我就想问问大家。如果不是利好。谁闲的秒拉板。钱都是大风刮来的？给大家抬轿子？,03-16
$九安医疗(SZ002432)$垃圾九安，天天磨！,03-16
57追进来的，明天走弱的话，一个星期不碰你[微笑],03-16
请问贵公司参加美国12号的第二批检测盒的投标吗？,03-16
兄弟们，已经十倍了。而且这种业绩无法持续的，7元成本的4700万股游资正在对倒出,03-16
万孚的9.8元，说实话让九安在国内完全没有了想象空间…希望国外订单不断吧,03-16
其实不是球你们来九安抱团，只有九安能时间获得巨大空间，三月赚回一次市值 大笑,03-16
今天没去中国医药。后悔,03-16
九安有个性，跟市场反着来,03-16
转发,03-16
注意啦冲冲冲啊，下午还有一个八个点的说的了嘛！搜尐灴书：红黑牡丹。很准的，又说了,03-16
$九安医疗(SZ002432)$小白瞎猜,03-16
$九安医疗(SZ002432)$[微笑]这阶段要是真杀出新的低点那不能叫洗盘了，,03-16
如何在大盘止跌后捡黄金？,03-16
指数大涨 你们的股涨了吗，散户的没涨就不是反转，明天都来九安了高开,03-16
业绩太厉害了，涨停。,03-16
我赌明天低开高走,03-16
2022.3.14  一片翠绿，疫情下这几个板块新的抄底机会再度出现！,03-16
转发,03-16
$九安医疗(SZ002432)$说说什么时候你对九安失望的，以及还在的原因,03-16
$九安医疗(SZ002432)$九安加油[加油][上涨],03-16
$九安医疗(SZ002432)$一群天天等公告的，又找图找利好，不割你菲菜才怪，,03-16
今天基本是大盘带崩的，开盘竞价封一字的资金是有意愿的，但是空方没格局抛压太严重，,03-16
今天实在忍不住了。63.03的本。62.99跑路了。卖飞就卖飞吧。每天开盘就下杀,03-16
$九安医疗(SZ002432)$今天九安和兰州应该是全赌对了[呲牙][呲牙],03-16
$九安医疗(SZ002432)$请问各位大神，我是新手。美国下一批招标是啥时候哦,03-16
工厂开始招工了，这是什么信号[想一下],03-16
$九安医疗(SZ002432)$会议内容第一条就是抗击疫情，那些砸盘的空头，希望,03-16
没有订单为什么大量招工，好好想想。,03-16
$九安医疗(SZ002432)$亚马逊还缺货吗,03-16
$九安医疗(SZ002432)$天天走龙头型，我看行[得意],03-16
【侠哥复盘】   疫情下的新冠药机会,03-16
$九安医疗(SZ002432)$趋势向下！百足之虫死而不僵，反弹起来没完没了！只,03-16
只有等到牛鬼蛇神票（比如九安医疗）连续无量跌停的时候，真正的牛市才会来，现在大盘,03-16
共享牛宴,03-16
$九安医疗(SZ002432)$大家都去骂万孚那个拉机公司，我们明德的已经吊过他,03-16
双头形成，明天大跌。多的话不说,03-16
董秘您好，请问关于美国的第二批五亿剂新冠检测试剂是否已中标，相关公告何时发布（回,03-16
高度控盘了，持股不动[囧][囧],03-16
$九安医疗(SZ002432)$上午自选都是绿的，九安红了。下午自选都是红的，九,03-16
边缘计算+扩展现实+分布式算力+智能汽车，这家公司叠加多重概念！,03-16
牛哥打板；2022年3月14日早盘：会后行情该如何走！,03-16
太多勾托了，一定要有自己的认知，别被骗了,03-16
最新信息:1分钟消息600276恒瑞医药抗癌新药获得重大突破600573惠泉啤酒,03-16
$九安医疗(SZ002432)$九安不亏是核心，其他后排新冠检测跌成狗,03-16
烂心肝的无良券商招商，面对自己给客户带来的巨大损失不闻不问。[怒][怒][怒],03-16
最新信息:1分钟消息600276恒瑞医药抗癌新药获得重大突破600573惠泉啤酒,03-16
板块轮动太快了！现在大家都是拼手速挣钱！什么指标都多余，就是拼手气了现在[呲牙],03-16
$九安医疗(SZ002432)$明天来个涨停,03-16
$九安医疗(SZ002432)$天津科顿工厂招工了,03-16
九安医疗冲高回落，接下来该怎么办？？？？？？,03-16
$九安医疗(SZ002432)$要用姜太公钓鱼的心态投资九安，钓的是一种闲庭信步,03-16
每天尾盘抢筹都是在赌利好嘛[为什么]昨天7000手今天6000？,03-16
【利好】九安医疗将迎来新一波上涨行情！,03-16
这些个空狗唱空我还以为停产了呢，原来大招特招，原来发大发了,03-16
$九安医疗(SZ002432)$那位大神能把明天走势说出来！谢谢！欢迎评论,03-16
如今的九安，真是一坨烂泥啊，可怜我还死死信他，它却一次又一次在伤害我。明天早上要,03-16
转发,03-16
$九安医疗(SZ002432)$我只后悔收盘前减仓了，明天高开封板！你们可以截图,03-16
九安医疗：关于公司美国子公司的日常经营重大公告。。。。。。。。。。。。。。。。。,03-16
$九安医疗(SZ002432)$九安打卡,03-16
中午约董秘出去喝茶，他说，大单没中标，中国和日本的认证没通过。现在不能发公告，明,03-16
$九安医疗(SZ002432)$我就想问，什么时候公布订单消息。,03-16
国内万孚生物报价不到10元，九安米国售价近50元，九安利润有多高！支持九安为国多,03-16
$九安医疗(SZ002432)$哪家企业年后不招工？何况招的还是小时工！差评！明,03-16
九安医疗二月份实锤交付美国市场五亿份试剂盒！,03-16
88可能会迟到但一定不会缺席加油,03-16
